pna_frequency_axis,pna_power,pna_tr1_linear_magnitude,pna_tr1_magnitude,pna_tr1_phase,pna_tr1_unwrapped_phase
3661100000.0,-30.0,1.593542456626892,4.047272682189941,84.44493865966797,-275.5550537109375
3661140000.0,-30.0,1.588766098022461,4.021199703216553,83.62933349609375,-276.37066650390625
3661180000.0,-30.0,1.5835071802139282,3.992401123046875,83.05725860595703,-276.9427490234375
3661220000.0,-30.0,1.579633355140686,3.971126079559326,82.43353271484375,-277.56646728515625
3661260000.0,-30.0,1.5731356143951416,3.935323476791382,81.83921813964844,-278.1607971191406
3661300000.0,-30.0,1.5686684846878052,3.91062331199646,81.15093231201172,-278.84906005859375
3661340000.0,-30.0,1.5667539834976196,3.9000163078308105,80.5125732421875,-279.4874267578125
3661380000.0,-30.0,1.5603379011154175,3.864372968673706,80.16075897216797,-279.8392333984375
3661420000.0,-30.0,1.5535324811935425,3.826406717300415,79.33440399169922,-280.66558837890625
3661460000.0,-30.0,1.5509889125823975,3.81217360496521,78.8337173461914,-281.1662902832031
3661500000.0,-30.0,1.5442652702331543,3.77443790435791,77.9444351196289,-282.0555725097656
3661540000.0,-30.0,1.5422732830047607,3.7632269859313965,77.15983581542969,-282.84014892578125
3661580000.0,-30.0,1.5410033464431763,3.7560720443725586,76.61018371582031,-283.38983154296875
3661620000.0,-30.0,1.5417839288711548,3.760470151901245,75.92757415771484,-284.0724182128906
3661660000.0,-30.0,1.5294556617736816,3.690737247467041,75.14329528808594,-284.856689453125
3661700000.0,-30.0,1.5273879766464233,3.6789870262145996,74.60063934326172,-285.3993835449219
3661740000.0,-30.0,1.5219662189483643,3.6481003761291504,73.81819915771484,-286.18182373046875
3661780000.0,-30.0,1.5162832736968994,3.615607261657715,73.33412170410156,-286.6658935546875
3661820000.0,-30.0,1.5088263750076294,3.5727851390838623,72.9295425415039,-287.0704345703125
3661860000.0,-30.0,1.4977930784225464,3.5090367794036865,72.1476821899414,-287.8523254394531
3661900000.0,-30.0,1.4954750537872314,3.4955835342407227,71.96293640136719,-288.03704833984375
3661940000.0,-30.0,1.4864697456359863,3.4431216716766357,71.58440399169922,-288.41558837890625
3661980000.0,-30.0,1.4808415174484253,3.4101712703704834,70.7889175415039,-289.2110900878906
3662020000.0,-30.0,1.4774243831634521,3.3901050090789795,70.10650634765625,-289.89349365234375
3662060000.0,-30.0,1.4738023281097412,3.3687849044799805,69.4515151977539,-290.5484924316406
3662100000.0,-30.0,1.472528100013733,3.361271381378174,68.77325439453125,-291.22674560546875
3662140000.0,-30.0,1.464829444885254,3.3157410621643066,68.12637329101562,-291.8736267089844
3662180000.0,-30.0,1.4648627042770386,3.3159384727478027,67.4586410522461,-292.5413513183594
3662220000.0,-30.0,1.4510128498077393,3.2334256172180176,66.98158264160156,-293.0184326171875
3662260000.0,-30.0,1.4431134462356567,3.186009168624878,66.74979400634766,-293.2502136230469
3662300000.0,-30.0,1.440901756286621,3.172686815261841,65.98395538330078,-294.01605224609375
3662340000.0,-30.0,1.4363579750061035,3.1452536582946777,65.09689331054688,-294.9031066894531
3662380000.0,-30.0,1.4330326318740845,3.1251213550567627,64.49727630615234,-295.5027160644531
3662420000.0,-30.0,1.4315060377120972,3.115863800048828,63.88423538208008,-296.11578369140625
3662460000.0,-30.0,1.4266358613967896,3.0862629413604736,62.939353942871094,-297.0606384277344
3662500000.0,-30.0,1.418074607849121,3.0339815616607666,62.35371780395508,-297.6462707519531
3662540000.0,-30.0,1.4193564653396606,3.0418293476104736,61.79302215576172,-298.2070007324219
3662580000.0,-30.0,1.4124640226364136,2.9995479583740234,61.14111328125,-298.85888671875
3662620000.0,-30.0,1.4037244319915771,2.9456374645233154,60.54901885986328,-299.45098876953125
3662660000.0,-30.0,1.4012125730514526,2.9300806522369385,59.91947555541992,-300.0805358886719
3662700000.0,-30.0,1.3973606824874878,2.906170606613159,59.47366714477539,-300.5263366699219
3662740000.0,-30.0,1.3838815689086914,2.8219783306121826,59.235408782958984,-300.76458740234375
3662780000.0,-30.0,1.3773303031921387,2.78076171875,58.771175384521484,-301.22882080078125
3662820000.0,-30.0,1.3695099353790283,2.7313036918640137,57.98499298095703,-302.0150146484375
3662860000.0,-30.0,1.371466875076294,2.743706464767456,57.236602783203125,-302.7633972167969
3662900000.0,-30.0,1.3617726564407349,2.6820919513702393,56.623226165771484,-303.3768005371094
3662940000.0,-30.0,1.357311487197876,2.653590440750122,56.0038948059082,-303.9961242675781
3662980000.0,-30.0,1.3535816669464111,2.6296894550323486,55.41039276123047,-304.589599609375
3663020000.0,-30.0,1.3513814210891724,2.6155588626861572,54.68299102783203,-305.3170166015625
3663060000.0,-30.0,1.3411245346069336,2.549381732940674,54.37087631225586,-305.629150390625
3663100000.0,-30.0,1.334474802017212,2.5062074661254883,54.004390716552734,-305.99560546875
3663140000.0,-30.0,1.3305052518844604,2.4803318977355957,53.14753723144531,-306.85247802734375
3663180000.0,-30.0,1.327610731124878,2.4614148139953613,52.41802978515625,-307.58197021484375
3663220000.0,-30.0,1.3270201683044434,2.4575507640838623,51.424095153808594,-308.5758972167969
3663260000.0,-30.0,1.3231092691421509,2.4319143295288086,50.944278717041016,-309.05572509765625
3663300000.0,-30.0,1.3150897026062012,2.379107713699341,50.2552604675293,-309.7447204589844
3663340000.0,-30.0,1.311300277709961,2.3540432453155518,49.534881591796875,-310.4651184082031
3663380000.0,-30.0,1.3051906824111938,2.31347918510437,48.864627838134766,-311.1353759765625
3663420000.0,-30.0,1.3052046298980713,2.3135719299316406,48.46683883666992,-311.53314208984375
3663460000.0,-30.0,1.293223261833191,2.2334702014923096,47.955135345458984,-312.04486083984375
3663500000.0,-30.0,1.2902605533599854,2.213548421859741,47.20331954956055,-312.79669189453125
3663540000.0,-30.0,1.2807621955871582,2.149369955062866,46.99179458618164,-313.0082092285156
3663580000.0,-30.0,1.2748730182647705,2.1093389987945557,46.50802993774414,-313.4919738769531
3663620000.0,-30.0,1.2663209438323975,2.0508759021759033,46.05282211303711,-313.9471740722656
3663660000.0,-30.0,1.2591503858566284,2.0015523433685303,45.182350158691406,-314.8176574707031
3663700000.0,-30.0,1.2591547966003418,2.0015828609466553,44.493492126464844,-315.50653076171875
3663740000.0,-30.0,1.2489382028579712,1.9308193922042847,43.979610443115234,-316.0203857421875
3663780000.0,-30.0,1.2490322589874268,1.9314727783203125,43.323020935058594,-316.6769714355469
3663820000.0,-30.0,1.2399888038635254,1.8683550357818604,42.779136657714844,-317.2208557128906
3663860000.0,-30.0,1.2372533082962036,1.8491723537445068,42.212520599365234,-317.7874755859375
3663900000.0,-30.0,1.2316489219665527,1.809738278388977,41.91631317138672,-318.08367919921875
3663940000.0,-30.0,1.2244856357574463,1.759074330329895,41.46751022338867,-318.532470703125
3663980000.0,-30.0,1.22017240524292,1.7284241914749146,40.451229095458984,-319.54876708984375
3664020000.0,-30.0,1.2151947021484375,1.692916989326477,39.67753601074219,-320.32244873046875
3664060000.0,-30.0,1.2141855955123901,1.6857010126113892,38.98997116088867,-321.0100402832031
3664100000.0,-30.0,1.2095539569854736,1.6525053977966309,38.47787094116211,-321.5221252441406
3664140000.0,-30.0,1.2050448656082153,1.6200644969940186,37.837921142578125,-322.1620788574219
3664180000.0,-30.0,1.1997871398925781,1.58208429813385,37.23066329956055,-322.7693176269531
3664220000.0,-30.0,1.1964503526687622,1.5578935146331787,36.580387115478516,-323.41961669921875
3664260000.0,-30.0,1.1911967992782593,1.5196704864501953,36.2772216796875,-323.7227783203125
3664300000.0,-30.0,1.1855205297470093,1.4781819581985474,35.373905181884766,-324.6260986328125
3664340000.0,-30.0,1.178285837173462,1.425013542175293,34.7008171081543,-325.2991943359375
3664380000.0,-30.0,1.1719779968261719,1.37838876247406,34.68980026245117,-325.3101806640625
3664420000.0,-30.0,1.1640576124191284,1.3194897174835205,34.194732666015625,-325.8052673339844
3664460000.0,-30.0,1.1577881574630737,1.2725824117660522,33.94786834716797,-326.0521545410156
3664500000.0,-30.0,1.1534574031829834,1.2400308847427368,33.03909683227539,-326.9609069824219
